score,content
1,안녕하세요. 2월 7일 오전 1시에 계정을 분실 했는데 3월 2일 현재 3월 2일 까지 복구가 안 됐네요. 1달간 이게 뭐하는 짓인지
1,그냥 명조하러가면되지 이겜 해야하는 이유가?
3,"이 작아 보이는 땅에 너무 많은 걸 넣을려고 해서 더 많은 걸 망친 거 같음. 빼도 될거 같은 걸 넣고, 되려 너무 많은 걸 나눠놔서 복잡해지고, 하나로 통합해도 되는 걸 또 나눠놔서 더 복잡해짐. PC로도 하는데 스펙이 낮은게 아닌데 전투에서 버벅거리는게 있고 반응이 느림. 발적화는 아니지만 아쉽다. 필드는 막아놓은게 많고 길을 뚫어야하는데 내가 재화를 만들어서 해야되는거라 진짜 불편하고 가방도 제한있게 만들었으면서 왜 필수로 가져가야되는 재화를 들고다니게 해야됨? 가챠 시스템은 이해가 안됨. 천장도 높은 편이고 왜 이렇게 만들었는지 모르겠고 돈 벌고 싶어서 그런걸로 보이네. 그리고 왜이렇게 주인공이 기억잃는 게 많은지. 가불기여 뭐여. 액션형 동숲이여? 캐릭터 디자인만 빼면 감다죽임. 개선되고 있는거 같네요. 근데 상시 컨텐츠는 부족하고 상시는 돌릴 여유도 필요도 없고 뽑기권을 얻을 수급처도 없다. 그리고 가챠만큼은 진짜 욕먹어야 됨"
1,뽑기 재화 부족 성장 재화 부족 어지간하면 안하는게 답
5,1일차 평가로는 알수없는 깊이가 있다
5,쟘슴
1,종래 출시 게임들 대비 나은 건 최적화 하나 밖에 없음. 뚜렷한 장점이 없는데 비싸기만 함. 기대 정말 많이 했는데 아쉬워 죽겠음.
5,걍 갓겜임
1,뽑기 이월안되는게 말이되냐?
5,갓겜
1,공장 너무 스트레스에요
2,이본 1돌1재 해보고 느낀점. 무과금 120연차 모아서 명함씩 따는거 아니면 무한 픽뚫에 개빡치는 자신을 볼 수 있음. 과금 할거면 차라리 하던 호요버스 겜에 하는게 답.
3,"솔직하게 말합니다. 이게임 할거면 지루한 공장만들기 버틸수 있으면 하세요. 첫 스테이지 4번협곡은 공장짜기 맵파밍하기 스토리보기 시스템 기능해제등 할만합니다. 그리고 두번째 스테이지 무릉은 스토리보고 기술포인트 먹고 다 가능합니다. 근데 무릉에서 공장 짓기 시작하면 그때부터 엄청난 벽에 눌림니다. 퀄 좋고 브금좋고 스토리 나쁘지 않은데 공장과 재화 모으기 그리고 픽업이 힘듬니다. 본인은 시간 빌게이츠고 자본이 넉넉하고 여유가 있으면 하시는걸 추천 합니다. 주 포인트는 공장 시스템 이해 공장 튜토는 스킵하면 나만 손해보고 재화는 특이하게 초반에 우르르 주고 뒤로는 엄청 안모입니다. 픽업 시스템이 살짝 특이한것? 애매한 부분이 있다고 생각합니다. 무과금은 점점 버티는게 훅 쉽지 않더라고요. 나름 원신,스타레일,젠존제 등등 원신 옛날에 한번 제외하고 이때까지 버티며 왔는데 앤드필드는 쉽지 않더군요. 주는 만큼 뒤는 힘든느낌 전 그렇게 느꼈습니다. 공장을 버틸 자신이 없다면 쉽게 떠날겁니다"
2,게임은 재밌는데 전투중 시선 처리가 심하게 조잡함; 시야고정으로 만들어놓고 돌진하는거 하나 못따라가면 어떡함
1,내인생최악의가챠겜무기픽뚫캐릭픽뚫매전픽뚫나고천장치면누가하고싶은데돈쓰라고?꺼질게~
1,최악의 BM. 돌파하고싶어도 엄청난 비용부담때문에 접게됨.. 이것만 개선하면 성공했을텐데 너무 아쉬운 게임
1,최악의 BM. 돌파하고싶어도 엄청난 비용부담때문에 접게됨.. 이것만 개선하면 성공했을텐데 너무 아쉬운 게임
5,"그래픽이 마음에 들고, 4성 캐릭이어도 조합을 구성하면 충분히 엔드컨텐츠에 도전할 수 있어서, 원하는 캐릭터로 즐길 수 있어서 만족감이 높습니다."
2,난 여기까지..ㅠ
1,"쓰레기같은 BM, 유저편의 일절안봐주고 유저가 게임에 모든걸 맞춰야함"
